City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Cabo San Lucas,22.8909,-109.9124,71.01,56,1,11.5,MX,1618800514
Buala,-8.145,159.5921,84.67,72,87,4.03,SB,1618800514
Kawalu,-7.3817,108.2082,83.16,64,17,4.45,ID,1618800515
Pucallpa,-8.3791,-74.5539,75.36,84,75,2.04,PE,1618800516
Hokitika,-42.7167,170.9667,60.91,69,10,4.97,NZ,1618800516
Tautira,-17.7333,-149.15,86,66,20,8.05,PF,1618800516
Goderich,43.7501,-81.7165,42.8,65,8,3.44,CA,1618800517
Big Spring,32.2504,-101.4787,55,40,1,4.61,US,1618800517
Tessalit,20.1986,1.0114,77.88,13,0,11.63,ML,1618800518
Cienfuegos,22.1461,-80.4356,78.8,89,44,3.44,CU,1618800256
Zhangaözen,43.3,52.8,57.78,54,21,6.35,KZ,1618800518
Keshorai Pātan,25.3,75.9333,89.67,13,80,6.6,IN,1618800519
Polohy,47.4844,36.2536,45.99,85,93,1.45,UA,1618800519
Tocopilla,-22.092,-70.1979,67.01,66,17,2.06,CL,1618800519
La Ronge,55.1001,-105.2842,33.8,37,100,9.22,CA,1618800520
Chancay,-11.5714,-77.2672,66.99,82,0,5.75,PE,1618800520
Cervo,43.6702,-7.4101,48.99,91,100,4,ES,1618800521
Weligama,5.9667,80.4167,83.23,72,46,6.78,LK,1618800521
Portland,45.5234,-122.6762,78.8,20,20,8.05,US,1618800220
Bichura,50.5881,107.6022,49.86,25,6,2.26,RU,1618800522
Santa Rosalía,27.3167,-112.2833,66.85,42,0,1.9,MX,1618800314
Itaí,-23.4178,-49.0906,61,95,44,9.1,BR,1618800523
Luanda,-8.8368,13.2343,80.6,94,20,5.75,AO,1618800523
Aitape,-3.1374,142.3475,83.01,75,70,5.19,PG,1618799929
Yulara,-25.2406,130.9889,69.8,24,0,6.91,AU,1618799930
Apex,35.7327,-78.8503,57,71,40,4.54,US,1618800509
Qiongshan,20.0058,110.3542,80.6,83,75,11.18,CN,1618800524
Province of Mantua,45.1667,10.7833,45,87,90,4.61,IT,1618800524
Ascension,30.2169,-90.9001,62.6,77,1,3.44,US,1618800525
Kurayoshi,35.4333,133.8167,66.2,59,20,12.66,JP,1618800525
Yar-Sale,66.8333,70.8333,3.49,97,92,7.29,RU,1618800526
Pathein,16.7833,94.7333,90.48,47,2,7.87,MM,1618799963
San Isidro,-12.1167,-77.05,66.99,82,0,5.75,PE,1618800526
Pochutla,15.7432,-96.4661,78.01,79,5,1.01,MX,1618800527
Yuanping,38.7153,112.7575,67.93,23,54,3.94,CN,1618800527
Mersing,2.4312,103.8405,84.2,89,20,3.44,MY,1618800528
Barcelona,41.3888,2.159,52,76,0,3.44,ES,1618800528
Honolulu,21.3069,-157.8583,82.4,47,40,13.8,US,1618800234
Amuntai,-2.4177,115.2494,88.39,55,86,2.95,ID,1618800529
Mount Isa,-20.7333,139.5,86,26,5,12.66,AU,1618800529
Natalio,-26.7167,-55.0833,62.87,85,0,1.66,PY,1618800530
Rock Springs,41.5875,-109.2029,51.8,22,90,20.71,US,1618800299
Longyearbyen,78.2186,15.6401,28.4,93,90,7.67,SJ,1618799971
Santa Marta,11.2408,-74.199,81,89,75,3.44,CO,1618800530
Panjakent,39.4952,67.6093,60.8,48,62,9.22,TJ,1618800531
Robertsport,6.7533,-11.3686,81.68,76,72,5.21,LR,1618800531
Dubbo,-32.25,148.6167,69.8,30,0,9.22,AU,1618800532
Rock Sound,24.9,-76.2,77.36,85,99,12.57,BS,1618800532
Marang,5.2056,103.2059,86,74,20,5.75,MY,1618800532
Lavrentiya,65.5833,-171,32.4,87,88,5.28,RU,1618800533
Lázaro Cárdenas,17.9583,-102.2,73.76,65,1,5.66,MX,1618800533
Beloha,-25.1667,45.05,61.99,81,0,9.78,MG,1618800534
Māngrol,21.1167,70.1167,82.44,70,4,11.68,IN,1618800534
Bathsheba,13.2167,-59.5167,78.8,61,40,23.02,BB,1618800535
Sungai Penuh,-2.0833,101.3833,77.32,61,20,3.51,ID,1618800535
Malindi,-3.2175,40.1191,75.11,90,100,14.12,KE,1618800535
Ardakān,32.31,54.0175,62.6,34,40,4.61,IR,1618800536
Krasnovishersk,60.4078,57.082,26.1,57,5,5.55,RU,1618800536
Faya,18.3851,42.4509,60.8,25,0,4.61,SA,1618800537
Cockburn Town,21.4612,-71.1419,78.3,87,5,17.98,TC,1618800537
Cururupu,-1.8283,-44.8683,74.14,97,100,2.66,BR,1618800537
Iquique,-20.2208,-70.1431,66.2,77,90,5.75,CL,1618800538
San Rafael,-34.6177,-68.3301,72.9,64,75,14.5,AR,1618800328
Dingle,10.9995,122.6711,85.71,58,100,6.93,PH,1618799957
Oruzgan,32.8333,66,62.15,19,100,3.44,AF,1618800539
Skibbereen,51.55,-9.2667,46.4,93,75,9.22,IE,1618800539
Haines Junction,60.7522,-137.5108,57.2,23,6,4.61,CA,1618800539
Aranda de Duero,41.6704,-3.6892,43.05,57,99,1.12,ES,1618800540
Charleston,32.7766,-79.9309,68,94,40,8.05,US,1618800540
Corinth,37.9407,22.9573,57,87,20,6.49,GR,1618800541
Lüderitz,-26.6481,15.1594,74.08,46,8,5.17,NA,1618800541
Acaraú,-2.8856,-40.12,76.96,88,100,7.67,BR,1618799966
Salinópolis,-0.6136,-47.3561,77.43,85,100,4.27,BR,1618800542
Barranca,-10.75,-77.7667,67.66,83,75,5.66,PE,1618800542
Yangi Marg`ilon,40.4272,71.7189,57.2,58,44,1.92,UZ,1618800542
Tahe,52.3333,124.7333,33.49,34,5,17.49,CN,1618800543
Dawlatabad,36.4141,64.9053,65.5,38,0,4.03,AF,1618800543
San Diego,32.7153,-117.1573,73.99,35,1,12.66,US,1618800424
East Wenatchee Bench,47.4257,-120.2812,75.2,15,1,16.11,US,1618800544
Mitsamiouli,-11.3847,43.2844,80.51,77,4,9.01,KM,1618799975
Husavik,66.0449,-17.3389,35.6,69,20,16.11,IS,1618800544
Tottori-shi,35.5,134.2333,62.6,59,20,12.66,JP,1618800529
Aswān,24.0934,32.907,80.38,34,0,8.1,EG,1618800545
Antalaha,-14.9003,50.2788,74.55,91,76,10.94,MG,1618800545
Estelle,29.8458,-90.1067,66.99,72,20,3.44,US,1618799992
Pedra,-8.4969,-36.9408,66.47,98,79,3.74,BR,1618800546
Gisborne,-38.6533,178.0042,69.01,48,63,3,NZ,1618800329
Eydhafushi,5.1033,73.0708,83.7,67,20,9.73,MV,1618800547
Fallon,39.4735,-118.7774,69.8,7,1,3.44,US,1618800547
Erenhot,43.6475,111.9767,58.1,18,75,17.96,CN,1618800547
Qaqortoq,60.7167,-46.0333,26.6,36,75,9.22,GL,1618800548
Keïta,14.7551,5.7749,84.24,8,75,3.87,NE,1618800548
Narsaq,60.9167,-46.05,26.6,36,75,9.22,GL,1618800549
Tilichiki,60.4667,166.1,30.72,98,89,2.95,RU,1618800549
Paamiut,61.994,-49.6678,26.62,94,100,15.61,GL,1618800549
Lixouri,38.2019,20.4314,54.41,80,10,7.23,GR,1618800550
Roald,62.5833,6.1333,42.01,87,43,9.22,NO,1618799983
Kawambwa,-9.7915,29.0791,55.35,95,65,6.96,ZM,1618800550
Ossora,59.2353,163.0719,33.08,95,51,4.72,RU,1618800551
Riyadh,24.6877,46.7219,73.4,20,0,4.61,SA,1618800551
Rovaniemi,66.5,25.7167,35.6,64,0,3.44,FI,1618800552
San Policarpo,12.1791,125.5072,76.08,90,100,25.77,PH,1618800552
Grand Gaube,-20.0064,57.6608,78.01,84,50,3,MU,1618800553
Fort-Shevchenko,44.5086,50.263,55.38,74,27,7.65,KZ,1618800553
Walvis Bay,-22.9575,14.5053,82.04,39,12,18.1,NA,1618800554
Nouadhibou,20.931,-17.0347,64.4,82,0,16.11,MR,1618800554
Havøysund,70.9963,24.6622,35.6,64,87,13.27,NO,1618800554
Betsiamites,48.9413,-68.646,33.8,93,1,2.3,CA,1618800555
Santa Isabel,-23.3156,-46.2214,64.4,100,75,4.61,BR,1618800555
Layou,13.2,-61.2667,80.6,69,20,18.41,VC,1618800556
Bonthe,7.5264,-12.505,79.72,80,68,4.74,SL,1618800556
Kirksville,40.1948,-92.5833,48.2,57,1,3.44,US,1618800557
Beruwala,6.4788,79.9828,83.84,69,33,3.42,LK,1618800557
Katherine,-14.4667,132.2667,87.8,29,100,12.66,AU,1618800557
Quatre Cocos,-20.2078,57.7625,78.8,83,75,11.5,MU,1618800558
Hobyo,5.3505,48.5268,82.31,72,16,6.67,SO,1618799976
Steinbach am Taunus,50.1667,8.5667,46,100,75,2.3,DE,1618800558
Kyra,49.5776,111.9753,44.91,25,6,9.51,RU,1618800559
Roebourne,-20.7833,117.1333,85.95,45,0,4.36,AU,1618800559
Prachuap Khiri Khan,12.2167,99.75,91,70,20,2.3,TH,1618800560
Upata,8.0086,-62.3989,78.01,78,72,3,VE,1618800560
Kumul,42.8,93.45,66.51,20,70,14.94,CN,1618800556
Tot'ma,59.9747,42.7642,29.77,74,5,6.53,RU,1618800561
Charters Towers,-20.1,146.2667,85.21,44,21,13.91,AU,1618800561
Conakry,9.538,-13.6773,79.57,80,43,5.28,GN,1618800562
Milovice,50.226,14.8886,44.01,81,75,4.61,CZ,1618800562
Okoneshnikovo,54.8377,75.0834,19.65,43,33,15.21,RU,1618800562
Tofield,53.3668,-112.6686,39.2,60,100,10.36,CA,1618800563
Adrar,20.5022,-10.0711,74.5,11,32,7.29,MR,1618800564
Dunedin,-45.8742,170.5036,66.99,52,93,1.99,NZ,1618800564
Avera,33.194,-82.5271,62.6,67,1,5.23,US,1618800564
Santa Ana,33.7456,-117.8678,77,23,1,9.22,US,1618800565
Tubli,13.9318,124.1478,78.17,94,100,30.18,PH,1618800565
Abhā,18.2164,42.5053,60.8,25,0,4.61,SA,1618800566
Cabedelo,-6.9811,-34.8339,73.4,100,75,1.14,BR,1618800566
Cornereva,45.0667,22.4167,33.49,94,94,2.21,RO,1618800566
Ettenheim,48.25,7.8167,42.01,68,100,2.44,DE,1618800567
Lander,42.833,-108.7307,52,37,1,11.5,US,1618800567
Iquitos,-3.7481,-73.2472,73.4,94,75,3.44,PE,1618800568
Moyale,3.5167,39.0584,64.33,92,63,3,KE,1618800568
Lorengau,-2.0226,147.2712,83.14,74,100,9.73,PG,1618800569
Turaif,31.6725,38.6637,66.2,34,0,6.91,SA,1618800569
Yozgat Province,39.5833,35.3333,51.84,73,100,3.6,TR,1618800569
Makaha,21.4694,-158.2175,84.2,53,1,12.66,US,1618800570
Sarakhs,36.5449,61.1577,60.8,36,0,9.89,IR,1618800570
Wad Rāwah,15.1603,33.1397,84.16,23,2,10.13,SD,1618800571
Alihe,50.5667,123.7167,39.11,31,0,15.86,CN,1618800571
Sobolevo,54.4299,31.8996,41.92,84,99,7.85,RU,1618800571
Praia,14.9215,-23.5087,69.8,78,20,10.36,CV,1618800572
Syracuse,37.0881,15.2792,50,87,0,9.22,IT,1618800483
Pimentel,-6.8367,-79.9342,66.99,84,80,4,PE,1618800572
Morehead,37.2711,-87.1764,53.01,87,75,4.61,US,1618800573
Salalah,17.0151,54.0924,78.8,69,0,2.3,OM,1618800573
Shivrājpur,22.4167,73.65,84.2,48,1,3.44,IN,1618800574
Auch,43.65,0.5833,43,73,100,2.24,FR,1618800574
Road Town,18.4167,-64.6167,80.01,88,0,13.82,VG,1618800357
Novyy Urgal,51.0736,132.5642,54.41,45,6,0.74,RU,1618800575
Wuwei,37.9281,102.6414,55.33,32,100,4.79,CN,1618800575
Phalombe,-15.8064,35.6507,56.93,96,30,3.31,MW,1618800575
Papara,-3.9839,-38.7273,81,78,40,5.75,BR,1618800576
Belmonte,-15.8631,-38.8828,75.2,88,20,5.75,BR,1618800576
Chara,56.9064,118.2631,13.89,53,25,4.03,RU,1618800577
Papetoai,-17.4961,-149.8729,86,66,20,8.05,PF,1618800577
Shizuishan,39.2333,106.7694,64.8,9,100,1.3,CN,1618800578
Arys,42.4252,68.795,60.8,51,0,4.47,KZ,1618800578
Dashitou,43.3067,128.5114,64.04,22,4,11.3,CN,1618800578
Imeni Vorovskogo,55.7233,38.3414,44.6,57,0,8.95,RU,1618800579
Ojinaga,29.5667,-104.4167,60.8,41,90,16.11,MX,1618800579
Moindou,-21.6924,165.677,87.8,66,100,3.44,NC,1618800580
Novobirilyussy,56.9514,90.6661,34.57,96,100,13.06,RU,1618800580
Zoetermeer,52.0575,4.4931,45,93,6,4.61,NL,1618800580
Ganzhou,28.8184,115.4327,61.3,73,100,1.05,CN,1618800581
Oyama,36.3,139.8,68,25,20,11.5,JP,1618800581
Kutum,14.2,24.6667,68.43,10,55,2.35,SD,1618800582
Itigi,-5.7,34.4833,61.14,92,99,6.6,TZ,1618800582
Haputale,6.7681,80.9595,80.6,94,20,2.3,LK,1618800582
Ahar,38.4774,47.0699,55.65,65,93,2.44,IR,1618800430
Paraty,-23.2178,-44.7131,69.66,96,100,4.34,BR,1618800583
Ketchikan,55.3422,-131.6461,60.78,58,2,4.03,US,1618800583
Acarí,-15.4311,-74.6158,73.11,72,5,1.5,PE,1618800584
Vallenar,-28.5708,-70.7581,64.15,66,0,2.24,CL,1618800584
Vyartsilya,62.1764,30.693,32.61,89,6,3.4,RU,1618800585
Imbituba,-28.24,-48.6703,71.6,83,40,11.5,BR,1618800585
Victor Harbor,-35.5667,138.6167,66.99,63,44,1.99,AU,1618800585
Egvekinot,66.3167,-179.1667,27.84,96,100,9.01,RU,1618800586
Polyarny,69.1989,33.4478,32,86,0,4.47,RU,1618800586
Moose Factory,51.2585,-80.6094,37.4,65,1,8.05,CA,1618800587
Plettenberg Bay,-34.0527,23.3716,64.62,82,57,10.8,ZA,1618800587
Irricana,51.3237,-113.6048,30.99,79,71,1.01,CA,1618800588
Anshun,26.25,105.9333,57.96,96,100,7.4,CN,1618800588
Nokaneng,-19.6667,22.2667,57.22,48,0,6.71,BW,1618800588
